ID,Section,Question,Option 1,Option 2,Option 3,Option 4,Ans(1-4),Translation,Explanation,Interval,Ease,Next_Review
163,72,( ) matters most to him is where he works after graduation.,The thing,When,What,How,3,彼にとって一番重要なのは、卒業後どこで働くかということだ。,どこまでが文の主語か ●関係代名詞 what の用法一節内で主語、what 節は主語 ▶空所に③ What を入れれば、What matters most to him は名詞節で、文全体の中で主語となる。意味は「彼にとって一番大事なこと」となる。▶what 節内は What (S) matters (V) most to him という構造で、what は節内で主語。►where he works after graduation は疑問副詞 where が導く間接疑問の名詞節で文全体の補語。,0,2.5,
164,72,A large portion of ( ) the Japanese eat every day is imported from other countries.,that,which,where,what,4,日本人が毎日食べているものの大部分は、外国から輸入されている。,前置詞 of の後ろに来るのは名詞に相当する表現 ●関係代名詞 what の用法一節内で他動詞の目的語、what 節は前置詞の目的語 ►a large portion of A 「Aの大半」のAに関係代名詞 what で始まる名詞節を作る。▶ what 節内は what (O) the Japanese (S) eat (V) every dayという構造で、what は他動詞eat の目的語。what the Japanese eat every day は前置詞 of の目的語になる名詞節。,0,2.5,
165,72,I sent my brother in the countryside ( ) little money I had at that time.,what,where,which,whom,1,私は田舎の兄に、その時持っていたなけなしのお金を送った。,what little money S have what +名詞... 「 ･･･するすべての(名詞)」 what が名詞を伴い (what+名詞... の形で「･･･するすべての(名詞) (=all the +名詞+ that...)」という意味を持つ場合がある。▶① what を選び、what little money 「なけなしのお金一少ないが持っているすべてのお金」とする。what little money I had at that time は他動詞 send の目的語になる名詞節。,0,2.5,
166,72,"Without American influences, Japanese culture would not be ( ) it is today.",at,what,when,which,2,アメリカの影響がなければ、日本文化は今日の姿になっていないだろう。,●what Sis「今[現在] のS(の姿・有り様)」 「what Sis 「今のS」は、what 節内では what が is の補語になっている。「Sがある今の状態」といった意味を表している。►what it[ = Japanese culture] is today 「今日の日本文化(の姿)」は補語となる名詞節。▶本間は without A「もしAがなければ」を用いた仮定法。主節にwould が使われていることに注意。,0,2.5,
167,72,John is ( ) is called a man of culture.,that,what,which,who,2,ジョンはいわゆる文化人だ。,"what is called A 「いわゆるA」 what is called a man of culture 「いわゆる文化人」は補語になる名詞節。注意(x) what is called, a man of culture のように、what is called を独立した表現と考えて、前後にコンマを打つ間違いに注意。 what we[you/they] call Aも同意表現。what is called A は what we[you / they] call Aの受動態。",0,2.5,
168,74,"It was cold, and ( ) is worse, the heater broke down.",that,what,which,as,2,寒かったし、さらに悪いことにはヒーターが故障した。,"● what is worse 「さらに悪いことには」 ►what is worse 「さらに悪いことには」は、前文の内容を受けて、それよりも悪い内容を付け加える表現。▶本問では、過去のことを表しているので、what was worse と過去形になっている。●注意 what is worse には接続詞の働きはないから、(x) It was cold, what was worse, the heater broke down. とはならないことに注意。本間のように接続詞and が必要となる。",0,2.5,
169,74,There was no objection from the man ( ) I thought was sure to protest.,who,whom,by whom,,1,抗議してくるに違いないと私が思っていた男性からは、何の反対もなかった。,"連鎖関係代名詞節 主格の関係代名詞(who, which, that what)の直後にI think や I believe などの (S+V)が入り込んだように見える形を「連鎖関係代名詞節」と呼ぶ。空所のあとのI thought とその直後の was に注目 ● 関係代名詞節一the man who I thought was... ▶空所のあとにI thought があり、そのすぐ後ろにwas が続くことに注目する。the man who の関係代名詞 who のあとに I thought が入り込んだように見える連鎖関係代名詞節であることを見抜く。▶節内の述語動詞 was の主語に当たる主格の関係代名詞① whoを用いるのが正しい。選択肢 他動詞 thoughtの目的語が欠けているように見えるせいで、② whom を正解にするミスが多い。",0,2.5,
170,75,I have never heard of such a plan ( ) you proposed.,as,would,which,never,1,あなたが提案したような計画は決してうまくいかないだろう。,"関係代名詞として使われる as, than, but の用法 suchとasに注目 ●関係代名詞の as一先行詞が such... 「先行詞が such... や the same... の場合は、関係代名詞のas 「~のような」を用いる。such friends as will help me 「私を助けてくれるような友人」(as は主格の関係代名詞) the same book as [that] I am fond of 「私が好きなのと同じ本」 (asは目的格の関係代名詞) ●注意 先行詞が the same... の場合は、関係代名詞に that を用いてもよい。▶先行詞が such a plan なので、関係代名詞as を用いて、Such a plan as you proposed 「あなたが提案したような計画」を完成する。このasは目的格の関係代名詞。",0,2.5,
171,75,"Naomi got up very early, ( ) is often the case with her.",as,which,what,that,1,ナオミにとってはいつものことだが、彼女はとても早く起きた。,"as is often the case with A ●非制限用法のas-先行調が「あとの文の内容」 非制限用法の which 同様に、非制限用法のasは「前の文の内容」を先行詞にすることがある。ただし、先行詞となる文よりも前にas節が置かれて、結果的に先行詞は「あとの文の内容」になることが多い。as is (often) the case (with A) 「(Aには)よくあることだが/いつものことで」や as is usual (with A) 「(Aには)いつものことで」 などの慣用表現で用いられることが多い。▶本間は Naomi got up very early, as is often the case with her.と書きかえられる。",0,2.5,
172,75,He has more money than ( ) necessary for a comfortable life.,is,are,was,were,1,彼は快適な生活に必要なお金よりも多くのお金を持っている。,● than は関係代名詞 ●比較 を含む語句を先行調にする関係代名詞 than 先行詞が 比較級を含む語句〉の場合には、関係代名詞 than を用いる。▶more money が先行詞で単数扱いの名詞なので、関係詞節内の述語動詞③ are necessary is necessary に訂正する。（※問題の選択肢は is/are なので is を選ぶ）,0,2.5,
173,77,You should give this CD to ( ) wants it.,who,whoever,whom,whomever,2,このCDは、だれでもそれを欲しがっている人にあげるべきです。,"whoever, whatever, whichever の用法 ●名詞節を導く whoever 「･･･する人はだれでも」 ● 空所のあとの wants に注目 ▶空所に入るのは wants の主語。② whoever 「･･･する人はだれでも」で文意が通る。▶本間の whoever は節内で主語。whoever wants it 「だれでもそれを欲しがっている人」 は前置詞toの目的語となる名詞節。",0,2.5,
174,78,Tim accompanies his five-year-old daughter ( ) she has to go somewhere.,whatever,whenever,whichever,whomever,2,自分の娘がどこかに行く必要があるときはいつでも、ティムは彼女に同行する。,"(4) whenever ● whenever SV は「･･･するときはいつでもいつ･･･しても」 whenever SVは「･･･するときはいつでも/いつ･･･しても」という意味の副詞節。「いつ･･･しても」という (譲歩〉の意味の場合は、no matter when SV で書きかえられる。▶② whenever を選ぶと文意が成立する。has to go (V) somewhere という文構造に注目。欠けた名詞要素はないので、関係代名詞を用いた① whatever, ④ whomever, ③ whichever はすべて不可。",0,2.5,
175,78,"( ) easy the test is, you should always check your answers again.",However easy the test is,However the test is easy,Whatever easy the test is,Whatever the test is easy,1,どんなにテストが簡単でも、常に答えの見直しをするべきです。,● easy の位置は? • (however +形容詞 [副詞] +SV) 「どんなに(形容詞 副詞])でも」 however +形容詞 [副詞] + SVは「どんなに(形容詞【副詞 〉でも」という意味の副詞節。●注意 however が導く副詞節はすべて〈譲歩〉の意味なので no matter how で書きかえられる。►However easy the test is だけが正しい語順の副詞節。形容詞 easy の位置に注意。注意② However the test is easy とする誤りが最も多い。「どんなに簡単でも」という意味を作るのだから、however と easy を離してはいけない。,0,2.5,
176,78,She is willing to do ( ) her sister tells her to do.,however,whatever,whenever,whichever,2,彼女は姉がやれということは何でも喜んでやる。,●名同節を導く whatever 「･･･するもの[こと]は何でも」 ▶ whatever を入れると、「彼女の姉がやれということは何でも」という文意が成立する。▶本川の whatever は節内で他動詞doの目的語。whatever her sister tells her to do 「姉がやれということには何でも」は前置詞 withの目的語となる名詞節。▶④ whichever では「姉がやれということはどちらでも」という意味になり不自然。,0,2.5,
177,78,"( ) you do, you must be careful.",Whichever,Whenever,Whatever,Wherever,3,何をするにしても、気をつけなければならない。,"譲歩を表す副詞節「何を･･･しても」を作る ●副詞節を導く whatever 「何が を ･･･しても」 whoever, whatever, whichever が副詞節を導いてく譲歩)の意味を表すことがある。この場合は、それぞれ no matter who, no matter what, no matter which を使って書きかえられる。▶ ③ Whatever を入れれば、「あなたが何をするにしても」という「譲歩」の意味になる。▶本間の Whatever は節内で他動詞doの目的語 Whatever you do 「何をするにしても」は副詞節の働きをしている。No matter what you do と書きかえられる。選択肢 ① Whichever では「あなたがどちらをしても」という意味になり不自然。◆プラス whatever と whichever は次のような違いがある。whatever「何でも/何が を ･･･しても」は、特に範囲や選択肢を意識しない。whichever 「どちらでもどちらが を しても」は、限られた範囲における選択肢を意識している。",0,2.5,
178,78,The dog kept smiling ( ) happened.,no matter what,whatever,however,whenever,1,何事が起ころうとも、その犬は微笑み続けた。,"no, matter, what に注目 ●副詞節を導く no matter what 「何が を ･･･しても」 ▶「何事が起ころうとも」を副詞節 no matter what happened で表す。whatever happened と書きかえることができる。重要表現 keep (on) doing 「･･･し続ける」",0,2.5,
179,78,"( ) decision we make, it is important to be confident.",Whatever,However,Whenever,Whichever,4,どちらの決定をするにしても、自信を持つことが重要だ。,● 空所のあとの名詞 decision に注目 ●副詞節を導く whichever +名詞〉 「どちらの(名詞)が[を]･･･しても」 whatever と whichever は後ろに名詞を伴い、〈譲歩〉の意味の副詞節を導くことがある。whatever +名詞〉「どのような(種類の) 〈名詞〉が[を ･･･しても」 (= no matter what+名詞) whichever +名詞〉「どちらの〈名詞〉が[を]･･･しても」 (= no matter which +名詞) ▶空所のあとの名詞 decisionに注目。選択肢の中で後ろに名詞を伴い、副詞節を導くことができるのは④ whichever だけ。whichever decision we makeで「どちらの決定をしても」という〈譲歩〉の意味を表す副詞節となる。whichever decision は節内では他動詞 make の目的語。▶本間は... no matter which decision we make. と書きかえられる。,0,2.5,
180,79,"I think he is a very intelligent person, ( ) many people don't agree with me.",but,for,which,who,1,彼はとても知的な人だと私は思うが、多くの人は私に同意しない。,●等位接続詞 but「しかし」 ▶等位接続詞 for 「というのは･･･だから」では文意が成立しない。空所の後ろには欠けた名詞要素がないので、関係代名詞which と whoは不可。空所の前後の意味の関係に注目し、文意が成立するのは逆接の意味を持つ but だけ。,0,2.5,
181,79,"I have never been to the country, ( ) do I want to go there in the future.",but,or,nor,so,3,私はその国に今まで行ったことはないし、将来もそこに行きたいとも思わない。,"●等位接続詞 nor「･･･もまた~(し)ない」 ▶等位接続詞 nor の後ろに文が来る場合は倒置形(疑問文と同じ語順)になる。空所のあとがdo I want... という倒置形(疑問文と同じ語順) なので③nor が正解。▶他の等位接続詞 but, or, soは後ろの文が倒置形にならないので不可。",0,2.5,
182,79,"Found in some fish, this substance is a deadly poison, ( ) it can be used in medicine to stop pain.",because,if,nor,yet,4,ある種の魚の体内で見つかるのだが、この物質は猛毒である。しかし、それは痛みを止めるための薬の中で利用することができる。,●等位接続詞 yet「しかし、それにもかかわらず」 ▶空所の前後の意味の関係に注目。文意が成立するのは逆接の意味の④yetだけ。Foundは受動態の分詞構文。選択肢 ① because 「なぜなら･･･」と、②if 「もし･･ならば」は文意が通らないので不可。③nor を用いるとあとの文は倒置形にしなければならないので不可。●注意 yet は副詞でも使われ、その場合は「(主に否定文で)まだ･･･ない」という意味を表す。,0,2.5,
183,79,"Make haste, ( ) you will miss the last train.",and,but,for,or,4,急ぎなさい。さもないと、最終列車に乗り遅れますよ。,"●命令文.... or SV 「･･･しなさい。さもないと~/･･･しなければ~」 ▶命令文に続けて or を用いると「･･･しなさい。さもないと~/･･･しなければ~」という意味になる。命令文 Make haste に続けて用いる接続詞は①andと④or。文章が成立するのは④orだけ。命令文とそれに続く文の意味の関係に注目して、and かorかを選択する。●プラス (命令文 or SV) は、 If ... not / unless への書きかえ問題も頻出。→If you don't make haste [Unless you make haste], you will miss the last train. ④プラス or の代わりに otherwise を用いることもある。",0,2.5,
184,79,"Think success, ( ) you are more likely to succeed.",unless,and,but,or,2,成功を思い描きなさい。そうすれば、より成功する可能性が高まります。,"●命令文.... and SV 「･･･しなさい。そうすれば~･･･すれば~」 ▶命令文に続けて and を用いると 「･･･しなさい。そうすれば~/･･･すれば~」という意味になる。命令文 Think success と一緒に用いて文意が成立するのは②andだけ。プラス (命令文..., and SV)は、ifへの書きかえ問題も頻出。→If you think success, you are more likely to succeed.",0,2.5,
185,80,We have stayed at both good ( ) bad camping sites.,and,or,nor,also,1,私たちは、よいキャンプ場と悪いキャンプ場の両方に泊まったことがある。,●both A and B 「AとBの両方/AもBも」 ▶both A and B のような、等位接続詞を用いた相関的な表現では、AとBに原則として文法的に対等な表現(語・句・節)を用いる。both に注目して①and を選ぶ。and は2つの形容詞 good と badをつなげている。,0,2.5,
186,80,"(a) Mike doesn't like coffee. He doesn't like tea, either. (b) Mike likes ( ) coffee ( ) tea.",-,-,-,-,-,マイクはコーヒーも紅茶も好きではない。,●neither A nor B 「AもBも(どちらも)･･･ない」 ▶「どちらも好きでない」という文意になるように、neither A nor B を用いる。,0,2.5,
187,81,It takes ( ) it took only three months to finish the project is an amazing achievement.,While,If,What,That,4,そのプロジェクトを終えるのにたった3か月しかかからなかったということは、驚くべき成果だ。,●名調節を導く接続詞 that that 節 「･･･ということ」が主語 ▶接続詞 that は名詞節を導き、that節は文全体の主語、補語、他動詞の目的語になる。原則として前置詞の目的語にはなれない。▶④ That を選ぶと、That it took... the project (S) is (V) an amazing achievement (C) という文構造と文意が成立する。本間のthat 節は主語になる名詞節。▶空所のあとには it (S') took (V) only three months (O) [to finish the project] (S) という形式主語it を用いた「完全な文」が来ていることを確認しておこう。選択肢 関係代名詞③ What の後ろには、名詞要素が欠けた「不完全な文」が来るので不可。,0,2.5,
188,81,The idea ( ) unhappy couples should divorce is controversial.,which,what,that,of,3,不幸せな夫婦は離婚すべきだという考えには、議論の余地がある。,●同格の名詞節を導く接続詞 that-(名詞+ that節 「･･･という(名詞)」 ▶(名詞+that節)という形で、that 節が名詞の具体的な内容を説明しているとき、このthat節を「同格」の名詞節と呼ぶ。▶空所の後ろに unhappy couples (S) should divorce (V) という「完全な文」が来ているので、接続詞③ that が正解。that節はThe ideaの具体的な内容を説明する同格の名詞節。選択肢関係代名詞① which のあとには名詞要素が欠けた「不完全な文」が来るので不可。②what は the thing(s) which に相当し先行詞はない。本間は The idea があるので不可。プラス the idea that... の that 節が必ずしも同格の名詞節になるとは限らない。,0,2.5,
189,81,It is often assumed that humans differ from other creatures ( ) they can think and speak.,in that,in which,to that,to which,1,考えたり話したりできるという点で、人間は他の生き物とは異なると、しばしば考えられている。,●in that... 「･･･という点で･･･なので」 ▶that 節は原則として前置詞の目的語にはなれないが、in that... 「･･･という点で ･･･なので」と、except that... 「･･･ということを除いて」は例外。どちらも一種の接続詞と見なしてよい。▶空所のあとには they (S) can think and speak (V)という「完全な文」が来ているので。① in that を入れると文構造と文意が成立する。,0,2.5,
190,81,We know nothing about him ( ) he is a good teacher.,for,except that,in that,if not,2,彼がよい教師であるということ以外は、私たちは彼について何も知らない。,●except that... 「･･･ということを除いて」 ▶we know nothing about him 「私たちは彼について何も知らない」の後ろにhe is a good teacher「彼はよい教師である」という事実を表す表現が来ているので、空所は「･･･以外は」という内容を表す表現が入れば文意が成立する。② except that が正解。,0,2.5,
191,82,"Chubu swimming pool. Good morning. ""Good morning. Could you tell me ( ) the pool is open tomorrow?""",after,if,how,where,2,「中部水泳プールです。おはようございます」「おはようございます。明日プールが開いているかどうか教えてもらえますか」,●名調節を導く接続詞ifif節 「･･･かどうか(ということ)」が他動詞の目的語 ▶接続詞 whether /ifは名詞節を導き、「･･かどうか(ということ)」という意味になる。ただし、if は他動詞の目的語か、形式主語 it に対する真主語にしか使えない。▶②if「 かどうか(ということ)」を選ぶと文構造と文意が成立する。本間の節は他動詞 tell の目的語になる名詞節。選択肢に whether があればそれも正解になる。,0,2.5,
192,82,( ) he is famous doesn't matter.,Although,If,Unless,Whether,4,彼が有名かどうかなど、どうでもいいことだ。,●名詞節を導く接続詞 whether-whether 節 「･･･かどうか(ということ)」が主語 ▶④ Whether 「･･･かどうか(ということ)」を選ぶと文構造と文意が成立する。本川のwhether 節は主語になる名詞節。▶問題文を形式主語 It を用いて以下のように表せば、真主語として whether 節とif節の両方を使うことができる。It doesn't matter whether[if] he is famous. 選択肢②は主語になる名詞節を導くことはできないので不可。①Although「･･にもかかわらず」と③ Unless 「･･･でなければ」は副詞節を導く接続詞なので不可。,0,2.5,
193,83,The situation at work got better ( ) the new boss arrived.,when,where,which,while,1,新しい上司が到着したとき、職場の状況はよくなった。,●「時」を表す接続詞 when... 「･･･するとき」 ▶接続詞① when を入れると、when the new boss arrived は副詞節となって文意が通る。while「･･･している間」は「何かが起きている 進行している期間」を表し、arriveのような瞬間的に行われる動作には使えない。,0,2.5,
194,83,I have been living in Nagoya ( ) I came to Japan six years ago.,from,since,until,after,2,6年前に来日してから、私はずっと名古屋に住んでいる。,●「時」を表す接続詞 since... 「･･･して以来(ずっと)」 ▶現在完了進行形(have been living)に注目。since... 「･･･して以来(ずっと)」は「過去の起点」を表し、主節には原則として完了形を用いる。①from 「 から」は前置詞で、後ろに文は来ないので不可。④ alter「･･･したあと」は接続詞だが、since のように完了形と一緒に用いて「過去の起点」を表す用法はない。,0,2.5,
195,84,I had no sooner sat down to read the newspaper ( ) the telephone rang.,as,after,than,while,3,新聞を読もうと座ったとたん、電話が鳴った。,●S had no sooner done... than S did~ 「･･･したらすぐに〜した」 ▶過去の2つの出来事がほぼ同時に起こったという状況は、S had no sooner done... than S did~ 「･･･したらすぐに〜した」という形で表現できる。主節に過去完了形(had done...)、従属節に過去形 (did~) を用いるのが基本。,0,2.5,
196,84,I had ( ) gone to bed when the telephone rang.,closely,hardly,shortly,rarely,2,床に就いたとたん、電話が鳴った。,●S had hardly [scarcely] done... when [before] S did~ 「･･･したらすぐに〜した」 ▶「･･･したらすぐに〜した」はS had hardly [scarcely] done... when [before] S did~という形でも表現することができる。hardly の代わりに scarcely を使い、when の代わりにbefore を使うこともある。▶本間は Hardly had I gone.... という倒置形で出題される場合も多い。,0,2.5,
197,84,You had better write the number down in the notebook ( ) you forget it.,whether,if,before,unless,3,忘れないうちにノートにその番号を書きとめておいたほうがいいよ。,●「時」を表す接続詞 before... 「･･･する前に･･･しないうちに」 ▶before を入れると文意が通る。 unless は「でない限り」の意。プラス beforeは「する前」よりも「･･･しないうちに」と否定的に訳した方が自然な日本語になる場合もある。,0,2.5,
198,84,You will never enjoy watching the game ( ) you learn the rules.,why,for,since,until,4,ルールを覚えるまで、あなたはその試合を見て楽しむことは決してないだろう。,●until [till]... 「するまで(ずっと)」 ▶until [till]は「 するまで(ずっと)」という意味で、「･･･するまで」の(動作や状態の継続)を表す。will に注目。楽しむことができないことがずっと続くだろうと言っているわけだから。「ルールを覚えるまで(ずっと)……できない」という文章が読み取れる。よって until「 するまで(ずっと)」が正解。プラス SV... until SV〜「･･･して、ついに〜する (= and finally)」という表現もある。,0,2.5,
199,84,The exam had started ( ) I got to class.,by the time,on the time,until,after the time,1,私が教室に着いたときには、試験は始まっていた。,●by the time... 「 するときまでには(すでに)」 ▶by the time は 期限〉を表す前置詞by を使った表現で。「･･･するときまでには(すでに)」という意味。過去完了の had started 「始まっていた」に注目。「私が教室に着いたときまでには、(すでに)試験は始まっていた」という文意が読み取れるから、①by the time... 「･･･するときまでには」が正解。選択肢④ until ･･･するまで(ずっと)」は(動作や状態の確続)を表す。by the time「･･･するときまでには(すでに)」(期限)との違いを、しっかりと確認すること。,0,2.5,
200,85,"( ) the sun rises in the east, Japan has long been called ""the land of the rising sun.""",Since,If,When,For,1,太陽は東から昇るため、日本は長い間「日出ずる国」と呼ばれてきた。,●「理由」を表す接続詞 since 「･･･だから･･･なので」 ▶接続詞 since は「････だから/･･･なので」という「理由」の意味を表すこともある。,0,2.5,
201,85,"( ) the game was to be delayed, many fans were disappointed.",Although,Because,During,While,2,試合が延期されることになったので、多くのファンはがっかりした。,●「理由」を表す接続詞 because... 「･･･だから･･･なので」 ▶接続詞 because は「･･･だから/･･･なので」という「理由」の意味を表す。,0,2.5,
202,85,Many exam candidates lose marks simply ( ) they do not read the questions properly.,because,because of,for,since,1,きちんと問題文を読まないという理由だけで、失点する受験生が多くいる。,●simply because... 「(単に)･･･という理由だけで」 ▶because を選ぶと、simply because... 「(単に)･･･という理由だけで」の形になり、文意が通る。,0,2.5,
203,85,"( ) the country has a new democratic government, the people will at last have more freedom.",Although,Even if,In the event that,Now that,4,その国には今や新たな民主政府があるのだから、国民はより多くの自由をついに手にすることだろう。,●now (that)... 「今や [もう] ･･･だから」 ▶接続詞 now (that)は「今や [もう]･･･だから」という「理由」の意味を表す。●注意 that が省略されて now だけになることもある。副詞now 「今」と間違えやすいので注意が必要。,0,2.5,
204,86,Helen jogs every morning ( ) she is too tired.,despite,without,whether,unless,4,ひどく疲れていない限り、ヘレンは毎朝ジョギングをする。,●unless... 「･･･でない限り もし･･･でなければ」 ▶unless... には、「･･･でない限り」という(例外)の意味と。「もし･･･でなければ(=if...not)」という2つの意味がある。どちらに取っても大差ない場合が多い。,0,2.5,
205,86,"You can go ahead and use any book you like on the shelves, ( ) you leave all your bags in the lockers.",unless,so that,provided,before,3,ロッカーにカバンをすべて預けるという条件で、本棚にあるあなたの好きな本をどんな本でも利用することができます。,●provided (that)... 「もし･･･ならば」 (= if...) ▶provided もし ならば」を入れると文意が通る。►provided (that) ... providing (that)...とすることもできる。両方とも元々は分詞構文だが慣用的な接続詞と考えてよい。,0,2.5,
206,86,"( ) we miss the train, what shall we do?",Having,Looking,Being,Supposing,4,もし列車に乗り遅れたら、どうしよう。,●supposing (that) ... 「もし･･･ならば」 (= if...) ▶④ Supposing 「もしーならば」を入れれば文意が通る。,0,2.5,
207,86,"( ) you were President, what would you do?",Suppose,Supposed,Supposedly,Supposition,1,もしあなたが大統領だったら、何をしますか。,●suppose (that)... 「もし･･･ならば」 (= if...) ▶① Suppose 「もし･･･ならば」を入れると文意が通る。Suppose you were President と動詞が過去形 were になっていることから、仮定法が使われていることがわかる。,0,2.5,
208,86,At Emi's birthday party he behaved ( ) he were a child.,as to,as if,as soon as,as long as,2,エミの誕生日パーティーで、彼はまるで子どものようにふるまった。,●as if... 「まるで･･･のように」 (= as though...) ▶as if[though]... は「まるで･･･のように」という意味。「...」には仮定法だけでなく直説法を使うこともある。,0,2.5,
209,86,Mathew looks very tired. He looks ( ) he hasn't slept for days.,even though,as though,although,though,2,マシューはとても疲れているようだ。何日も眠っていないかのように見える。,●as though... 「まるで･･･のように」 (= as if ...) ▶as if[though]... は「まるで･･･のように」という意味。上と同じ。,0,2.5,
210,86,"( ) I learned how to hold the club properly, my golf game improved a lot.",As a result,Nevertheless,Once,Whether,3,ひとたびクラブの正しい握り方を学んだら、私のゴルフの腕はかなり上がった。,●once... 「ひとたび･･･すればいったん･･･したら」 ▶接続詞 onceは「ひとたび･･･すれば/いったん･･･したら」という意味を表す。▶文意が通るのは接続詞③ Onceだけ。本間は2つの文がつながれているので、空所には接続詞が必要。選択肢副詞(句) ① As a result と ② Nevertheless は2つの文をつなぐ働きはないので不可。接続詞 Whether では文意が通らない。●注意 once は副詞でも使われ、その場合は「一度、一回」や、「昔、かつて」という意味を表す。,0,2.5,
211,87,"I like the restaurant we went to last night, ( ) it was a little too expensive.",whether,although,since,because,2,少し値段が高すぎたけれども、昨夜行ったレストランはよかった。,●although... 「･･だけれども/ にもかかわらず」 (=though...) ▶「譲歩」を表す接続詞。「少し値段が高すぎたけれども」という逆説的な意味合いから選ぶ。,0,2.5,
212,87,It is important not to give out your credit card number to anyone over the phone ( ) you know who you are talking to.,so that,even if,but,or,2,たとえ話し相手がだれか知っていても、電話ではクレジットカード番号をだれにも教えないことが大事です。,●even if... 「たとえ･･･でも」 ▶even if... は何かを仮定して「(実際はどうか知らないが)もしそうなったとしても」という場合に使う。▶even if を選ぶと、「たとえ話し相手がだれか知っていても」となり、文意が通る。,0,2.5,
213,87,"( ) a vast amount of research has been conducted, there is still a great deal that is not known about the workings of the human brain.",Despite,Even though,In spite of,Whether,2,膨大な量の研究がなされているけれども、人間の脳の働きには未知の部分がたくさんある。,●even though... 「･･･ではあるけれども たとえ･･･ではあっても」(=though... / although...) ▶even though... は though.../althoughの意味を強めた表現。ただし(x) even although とは言えない。選択肢① despite ･･･にもかかわらず」 → in spite of ･･･にもかかわらず」は前置詞なので後ろに文は来ない。,0,2.5,
214,87,"Sleepy ( ) he was, he kept on studying for the examination.",when,because,as,before,3,彼は眠かったけれども、テストの勉強を続けた。,●文頭の Sleepy に注目 ●形容詞+ as[though] SV = though SV+形容詞 ▶though SV +形容詞 「Sは･･･であるけれども」を(形容詞+ as[though]+SV)で表すことがある。文頭に形容詞 sleepy が来ていることに注目。本川は Though he was sleepy を 形容詞 sleepy を文頭に出して、Sleepy as[though] he was とした形。,0,2.5,
215,87,"( ) they agree or not, I will carry out the plan.",Whether,Either,However,Whatever,1,彼らが同意しようがしまいが、私はその計画を実行する。,"●or not に注目 ●whether... or~ 「･･･であろうが〜であろうが(どちらでも)」 ▶whether は譲歩を表す副詞節を導いて、「･･であろうが~であろうが(どちらでも)」という意味を表す。whether が名詞節を導く場合はを参照。●プラス whether or not 「･･･であろうがなかろうが」は、whether or not... という形になることもある。→Whether or not they agree, I will carry out the plan.",0,2.5,
216,88,The movie was ( ) interesting that I wanted to see it again.,such,too,so,much,3,その映画はとてもおもしろかったので、私はもう一度見たいと思った。,●that に注目 ●so... that ~ 「とても･･･なので~/~ほど [くらい]･･･」 ▶「結果・程度」を表す so... that ~の「...」には、原則として形容詞や副詞が来る。,0,2.5,
217,88,It was ( ) a fine day that they went hiking.,such,so,what,then,1,とてもよい天気だったので彼らはハイキングに出かけた。,●such... that~「とても･･･なので~/~ほど「くらい]･･･」 ▶「結果・程度」を表す such that〜の「...」には、 a/an+形容詞+名詞)の形が来るのを用いる場合は、(so+形容詞+a/an+名詞) day thatとならなければならない。◆プラス such that の」に可算名詞の複数形や、不可算名詞が来ることもある。,0,2.5,
218,88,( ) was the force of the explosion that all the windows broke into pieces.,So,That,What,Such,4,その爆発の威力はとてもすごかったので、窓ガラスがすべて粉々に砕けた。,●空所のあとの語順に注目 ●S is such that... Such is S that... 「Sはとてもすごいので･･･/Sは･･･するほどである」 ▶S is such that... は「Sはとてもすごいので･･･/Sは・するほどである」という意味で、S is so great that... と同意。Such is S that... ▶本間は The force of the explosion was such that... such が文頭に移動して、Such was the force of the explosion that... という倒置形になっている。,0,2.5,
219,88,I overslept. ( ) I was late for the meeting.,because,as,so,but,3,私は寝坊した。それで会議に遅れてしまった。,●結果を表す接続調 so (that) 「それで･･･その結果･･･」 ▶ so (that)~「･･･。それで / 。その結果 」は、前の文の内容を受けて、その (結果)を表す。,0,2.5,
220,89,She wanted to publish her poetry ( ) everyone could read it.,in that,so much so that,so that,which,3,彼女はだれもが読めるように、自分の詩集を出版したいと思っていた。,●「目的」を表す接続詞 ⚫so that S can [will/may] do [Sが･･･するために」 ▶order that S can [will / may] doでも同じ意味を表すが、文語的な表現。▶本問は主節が過去時制なので、時制の一致を受けてcould になっている。,0,2.5,
221,89,You need to speak up so everyone can hear you.,Everybody is ready to listen to what you are going to say.,Not everybody is going to agree with what you say.,"You have to talk louder, otherwise people will not be able to hear.",You should listen to what everyone else thinks.,3,あなたはもっと大声で話さなければならない。さもないと、人々は聞き取ることができないでしょう。,●so S can do- so that S can do thatの省略 ▶「目的を表す so that S can do の that が省略されて、so S can do となることがある。▶省略された that を補って、so that everyone can hear you 「みんなに聞こえるように」という目的の意味に理解することがポイント。この文意に最も近い③)を正解に選ぶ。▶③は(命令文.... or SV)「･･･しなさい。さもないと~」の変形、命令文の代わりに「義務・必要」の意味の助動詞 have toを、or の代わりに otherwise を用いている。,0,2.5,
222,89,He got to the station early for ( ) that he might miss the last train.,fear,sure,granted,long,1,最終列車を逃さないように、彼は早めに駅に着いた。,●for fear that S should [might] do 「Sが･･･しないように」 ▶for fear (that) S should [might] doで「Sが･･･しないように/Sが･･･するといけないので」という意味。原義は「Sが･･･することを恐れて」だが、日本語は否定的に訳出すのが一般的。●プラス 同意表現は lest S (should) do だが、文語的な表現。▶本間は(目的)を表す so that... を使って... so that he might [would not] miss the last train、と言いかえることができる。,0,2.5,
